,ntaname,boro_name,count,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31
74,Brooklyn Heights-Cobble Hill,Brooklyn,2,1183403.0,1173923.0,1169621.0,1166729.5,1164493.5,1158933.5,1149456.0,1149527.0,1159650.0,1180234.0,1207804.5
75,Park Slope-Gowanus,Brooklyn,2,1079358.5,1070109.5,1064714.5,1060339.0,1061144.0,1058987.0,1056598.0,1054989.0,1057539.5,1057370.0,1056763.0
76,Charleston-Richmond Valley-Tottenville,Staten Island,3,636190.0,635284.3333333335,634523.3333333335,635509.6666666665,638811.3333333335,641040.0,643805.6666666665,645698.0,648072.6666666665,647922.3333333335,649099.0
77,Rossville-Woodrow,Staten Island,2,575636.5,575725.0,575839.5,577305.5,579364.5,580979.0,582357.5,583437.5,585553.5,586502.0,589082.0
78,Central Harlem North-Polo Grounds,Manhattan,1,702529.0,701296.0,700898.0,699396.0,698107.0,694159.0,693901.0,691147.0,691029.0,689931.0,691664.0
79,Yorkville,Manhattan,2,1355192.5,1363122.0,1372996.0,1379463.5,1380896.0,1379664.5,1379550.0,1386972.0,1399888.0,1415611.5,1429303.5
80,Auburndale,Queens,1,817933.0,817784.0,817266.0,815577.0,814976.0,813950.0,813921.0,813545.0,813699.0,815345.0,815803.0
81,East Flushing,Queens,1,512852.0,513928.0,514602.0,513719.0,513830.0,513356.0,513658.0,513095.0,513335.0,514835.0,516152.0
82,Morrisania-Melrose,Bronx,1,304670.0,308940.0,312084.0,312666.0,313069.0,313819.0,315211.0,315463.0,314513.0,313431.0,312324.0
83,Marble Hill-Inwood,Manhattan,2,608314.0,607629.5,605919.0,603991.0,601671.5,600944.0,600185.5,599116.0,600200.5,601952.5,605423.0
84,Hudson Yards-Chelsea-Flatiron-Union Square,Manhattan,2,1117833.0,1114822.0,1112273.5,1112783.5,1116394.0,1117288.5,1114668.0,1106643.5,1100288.5,1096072.0,1090439.0
85,West Brighton,Brooklyn,1,435032.0,432540.0,429402.0,427453.0,429245.0,431333.0,431476.0,433969.0,437475.0,441773.0,443633.0
86,West Village,Manhattan,3,1592546.0,1574610.333333333,1554018.333333333,1544714.666666667,1552054.666666667,1553346.0,1546513.0,1526794.333333333,1517566.0,1506474.333333333,1504843.666666667
87,Upper West Side,Manhattan,1,1175512.0,1175502.0,1170589.0,1160170.0,1160121.0,1159339.0,1158839.0,1164965.0,1171275.0,1178386.0,1174918.0
88,Norwood,Bronx,1,158497.0,160411.0,161656.0,162799.0,165928.0,168745.0,171820.0,173387.0,174421.0,174878.0,175151.0
89,Bedford Park-Fordham North,Bronx,2,186957.0,186468.0,185214.5,183042.5,181743.0,181032.0,182077.0,182624.5,182967.5,182220.0,181621.0
90,Fordham South,Bronx,1,197334.0,196631.0,195108.0,193428.0,192047.0,191413.0,190928.0,189891.0,188224.0,185988.0,183910.0
91,Mount Hope,Bronx,2,263709.0,265269.5,266764.5,265864.5,265852.0,266254.0,268235.0,269139.0,269147.5,269076.5,270128.5
92,Eastchester-Edenwald-Baychester,Bronx,2,453445.0,455155.0,457100.5,457303.5,458324.0,460068.5,463540.0,466258.5,469114.0,473139.5,476721.5
93,Co-op City,Bronx,1,489367.0,493493.0,496332.0,497027.0,497757.0,499702.0,503442.0,507474.0,511134.0,514909.0,518295.0
94,East Tremont,Bronx,2,252057.5,252251.0,251711.0,249791.5,248807.5,249311.0,250691.0,250655.0,248341.5,245730.5,244679.5
95,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,3,655710.0,654836.0,653204.6666666665,653849.0,654922.6666666665,656969.3333333335,657841.3333333335,660879.3333333335,665044.3333333335,670728.0,674493.3333333335
96,Grymes Hill-Clifton-Fox Hills,Staten Island,2,522094.0,521305.0,520611.5,521322.5,522798.5,524473.5,525472.5,527337.5,530408.0,530677.5,531905.5
97,Rosedale,Queens,1,513470.0,512908.0,512899.0,514027.0,516000.0,518277.0,520296.0,523883.0,528168.0,534949.0,541643.0
98,New Dorp-Midland Beach,Staten Island,2,579785.0,580066.5,580178.5,580845.5,582308.0,582951.0,583404.5,583268.0,584282.5,584015.5,585197.0
99,East Williamsburg,Brooklyn,1,903978.0,901389.0,901774.0,901304.0,904486.0,905874.0,908136.0,910025.0,912981.0,915815.0,918748.0
100,West Concourse,Bronx,2,263709.0,265269.5,266764.5,265864.5,265852.0,266254.0,268235.0,269139.0,269147.5,269076.5,270128.5
101,Old Town-Dongan Hills-South Beach,Staten Island,2,567708.5,566845.5,567205.5,567625.0,568978.0,569518.5,570345.5,570634.5,571816.0,570899.0,571390.0
102,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,3,1127272.666666667,1123364.0,1124427.666666667,1127944.0,1131939.333333333,1134947.0,1136571.333333333,1139044.333333333,1143537.666666667,1148491.666666667,1154733.666666667
103,Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,4,600112.5,600486.25,601203.25,601661.75,602957.5,604953.0,608112.75,611343.0,616552.0,623032.75,628876.75
104,Pelham Parkway,Bronx,2,473990.5,476908.0,480780.5,481793.5,484515.0,487525.0,491895.0,495349.0,498472.0,502914.0,506207.0
105,Carroll Gardens-Columbia Street-Red Hook,Brooklyn,3,1225630.666666667,1225674.333333333,1228298.666666667,1232511.333333333,1233606.0,1232001.333333333,1229411.333333333,1227600.333333333,1228630.333333333,1232861.0,1238091.0
