,ntaname,boro_name,count,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31
148,Stuyvesant Town-Cooper Village,Manhattan,1,745999.0,752825.0,752670.0,749583.0,743727.0,735905.0,727654.0,716975.0,715105.0,715660.0,716754.0
149,Manhattanville,Manhattan,1,456229.0,456425.0,454904.0,454924.0,459810.0,466469.0,476242.0,480399.0,481520.0,484584.0,489684.0
150,Woodhaven,Queens,1,595435.0,596043.0,597164.0,596676.0,596328.0,595759.0,596655.0,598087.0,599824.0,603085.0,605637.0
151,Whitestone,Queens,2,717663.5,716150.5,714378.5,712513.5,712687.0,712395.5,714074.5,716273.0,719226.5,722598.0,725292.0
152,Greenpoint,Brooklyn,1,903978.0,901389.0,901774.0,901304.0,904486.0,905874.0,908136.0,910025.0,912981.0,915815.0,918748.0
153,Morningside Heights,Manhattan,1,779379.0,772663.0,761977.0,744828.0,727979.0,710386.0,704816.0,701551.0,703328.0,705901.0,712205.0
154,Hammels-Arverne-Edgemere,Queens,1,283320.0,281682.0,283097.0,285243.0,288467.0,290063.0,292178.0,294935.0,299332.0,303972.0,308155.0
155,Far Rockaway-Bayswater,Queens,1,465877.0,466661.0,467893.0,469315.0,471205.0,472443.0,473347.0,476654.0,480061.0,485295.0,487857.0
156,SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,3,2251211.666666666,2252522.0,2256797.333333333,2269269.666666666,2274503.333333333,2270036.666666666,2253480.333333333,2225658.666666666,2205407.333333333,2189858.0,2179991.0
157,Crown Heights North,Brooklyn,1,749436.0,748113.0,748149.0,748324.0,748116.0,747032.0,748034.0,748155.0,750565.0,751340.0,753421.0
158,Chinatown,Manhattan,3,2251211.666666666,2252522.0,2256797.333333333,2269269.666666666,2274503.333333333,2270036.666666666,2253480.333333333,2225658.666666666,2205407.333333333,2189858.0,2179991.0
159,Claremont-Bathgate,Bronx,1,304670.0,308940.0,312084.0,312666.0,313069.0,313819.0,315211.0,315463.0,314513.0,313431.0,312324.0
160,Belmont,Bronx,1,359126.0,363270.0,366706.0,366614.0,367183.0,370021.0,375697.0,381303.0,384893.0,389022.0,392569.0
161,Washington Heights North,Manhattan,1,519562.0,515323.0,511390.0,508418.0,506447.0,503481.0,503536.0,502710.0,505663.0,509853.0,519131.0
162,Washington Heights South,Manhattan,1,519562.0,515323.0,511390.0,508418.0,506447.0,503481.0,503536.0,502710.0,505663.0,509853.0,519131.0
163,Prospect Heights,Brooklyn,1,749436.0,748113.0,748149.0,748324.0,748116.0,747032.0,748034.0,748155.0,750565.0,751340.0,753421.0
164,Van Nest-Morris Park-Westchester Square,Bronx,2,473990.5,476908.0,480780.5,481793.5,484515.0,487525.0,491895.0,495349.0,498472.0,502914.0,506207.0
165,Westchester-Unionport,Bronx,1,275061.0,275724.0,276453.0,276019.0,276702.0,278235.0,280464.0,282553.0,284269.0,286076.0,287760.0
166,Melrose South-Mott Haven North,Bronx,2,467584.5,470050.5,476788.5,482773.0,485006.0,486379.0,486097.5,486362.0,487143.5,490380.0,493179.5
167,Oakwood-Oakwood Beach,Staten Island,1,571286.0,571343.0,570725.0,571581.0,573477.0,575007.0,576424.0,577296.0,579750.0,580257.0,581595.0
168,Great Kills,Staten Island,1,551402.0,550786.0,550850.0,551372.0,553325.0,554000.0,555644.0,556409.0,558731.0,557980.0,558491.0
169,Mott Haven-Port Morris,Bronx,2,467584.5,470050.5,476788.5,482773.0,485006.0,486379.0,486097.5,486362.0,487143.5,490380.0,493179.5
170,Dyker Heights,Brooklyn,1,893811.0,891763.0,890744.0,891969.0,894411.0,895334.0,897038.0,897100.0,900481.0,904826.0,909425.0
171,Bay Ridge,Brooklyn,2,465454.5,464756.5,463883.0,461014.0,457545.5,454961.0,453381.5,454505.5,455343.0,457258.5,461272.0
172,New Springville-Bloomfield-Travis,Staten Island,3,466396.0,465919.66666666674,466809.33333333326,469032.66666666674,473177.66666666674,474953.0,476797.33333333326,476905.33333333326,478826.66666666674,477999.66666666674,478306.66666666674
173,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Staten Island,4,769182.75,766813.75,765335.75,765384.25,766859.5,766974.0,764416.25,761878.75,761623.25,761160.5,761693.5
174,Grasmere-Arrochar-Ft. Wadsworth,Staten Island,2,611763.0,609716.5,608374.0,608170.5,609157.0,609734.0,608874.5,609100.5,610469.5,610823.5,611651.5
175,Bellerose,Queens,1,615998.0,617807.0,619171.0,619438.0,620221.0,620176.0,622258.0,625052.0,629239.0,633651.0,638964.0
176,Stapleton-Rosebank,Staten Island,2,475985.5,475125.5,474176.0,474776.5,476301.5,478297.5,479012.0,480218.5,481029.0,479749.0,479210.0
177,Glen Oaks-Floral Park-New Hyde Park,Queens,2,500245.5,499930.5,498780.5,497090.5,496210.0,494995.0,495006.5,495779.5,497437.0,498664.0,498436.5
178,South Jamaica,Queens,1,439218.0,439332.0,440256.0,441169.0,442618.0,443684.0,445890.0,448625.0,451519.0,455501.0,458605.0
179,Baisley Park,Queens,1,522758.0,524472.0,525775.0,526581.0,527156.0,527504.0,528954.0,529913.0,531079.0,532542.0,532581.0
180,Turtle Bay-East Midtown,Manhattan,1,784856.0,788546.0,789937.0,787645.0,780568.0,774928.0,772680.0,770346.0,770776.0,774567.0,782306.0
181,Laurelton,Queens,1,514470.0,516622.0,518392.0,519861.0,521753.0,522487.0,524008.0,526429.0,528969.0,532691.0,535007.0
182,Lenox Hill-Roosevelt Island,Manhattan,1,933728.0,931813.0,928936.0,923389.0,917279.0,912566.0,911201.0,907975.0,904687.0,901074.0,901006.0
183,Hunters Point-Sunnyside-West Maspeth,Queens,3,483747.66666666674,482085.33333333326,481359.33333333326,482864.33333333326,483562.66666666674,483388.33333333326,480309.0,476652.33333333326,473658.33333333326,471131.0,470999.33333333326
184,Springfield Gardens South-Brookville,Queens,1,424024.0,425919.0,427548.0,428666.0,429579.0,430466.0,432721.0,436090.0,440340.0,445372.0,449898.0
185,Airport,Queens,1,622196.0,624473.0,626760.0,625484.0,625442.0,626810.0,633311.0,638299.0,639932.0,644303.0,653490.0
186,Cypress Hills-City Line,Brooklyn,1,466522.0,469786.0,473683.0,477718.0,481273.0,484068.0,487288.0,490425.0,494324.0,497910.0,502228.0
187,Ozone Park,Queens,1,548102.0,548951.0,549895.0,550105.0,550713.0,550456.0,551628.0,553789.0,556090.0,558835.0,560388.0
188,East New York,Brooklyn,1,466522.0,469786.0,473683.0,477718.0,481273.0,484068.0,487288.0,490425.0,494324.0,497910.0,502228.0
189,Lindenwood-Howard Beach,Queens,1,430549.0,432327.0,434033.0,435862.0,437551.0,439011.0,440854.0,442839.0,445038.0,446987.0,447738.0
190,park-cemetery-etc-Brooklyn,Brooklyn,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Richmond Hill,Queens,1,572196.0,571840.0,572333.0,572168.0,572098.0,571145.0,572393.0,574503.0,577717.0,581482.0,583228.0
192,Jamaica,Queens,1,439218.0,439332.0,440256.0,441169.0,442618.0,443684.0,445890.0,448625.0,451519.0,455501.0,458605.0
193,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,3,531021.6666666665,531565.3333333335,533002.0,533948.6666666665,536517.6666666665,537704.6666666665,539185.3333333335,539979.6666666665,541870.0,544999.6666666665,548942.0
194,park-cemetery-etc-Queens,Queens,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
